     Scat angle      F11             F12            F22           F33             F43            F44
   0.189000E+01   0.167474E+01  -0.901923E-03   0.167195E+01   0.167195E+01   0.467997E-07   0.166918E+01
   0.190000E+01   0.167473E+01  -0.911347E-03   0.167194E+01   0.167194E+01   0.472888E-07   0.166916E+01
   0.191000E+01   0.167472E+01  -0.920771E-03   0.167193E+01   0.167193E+01   0.477778E-07   0.166915E+01
   0.192000E+01   0.167471E+01  -0.930194E-03   0.167192E+01   0.167192E+01   0.482668E-07   0.166914E+01
   0.193000E+01   0.167470E+01  -0.939617E-03   0.167191E+01   0.167191E+01   0.487559E-07   0.166913E+01
   0.194000E+01   0.167469E+01  -0.949040E-03   0.167190E+01   0.167190E+01   0.492449E-07   0.166912E+01
   0.195000E+01   0.167468E+01  -0.958464E-03   0.167189E+01   0.167189E+01   0.497339E-07   0.166911E+01
   0.196000E+01   0.167466E+01  -0.967886E-03   0.167188E+01   0.167188E+01   0.502229E-07   0.166910E+01
   0.197000E+01   0.167465E+01  -0.977310E-03   0.167187E+01   0.167187E+01   0.507119E-07   0.166909E+01
   0.198000E+01   0.167464E+01  -0.986732E-03   0.167186E+01   0.167186E+01   0.512009E-07   0.166908E+01
   0.199000E+01   0.167463E+01  -0.996155E-03   0.167185E+01   0.167185E+01   0.516899E-07   0.166907E+01
   0.200000E+01   0.167462E+01  -0.100558E-02   0.167184E+01   0.167184E+01   0.521788E-07   0.166906E+01
   0.205000E+01   0.167456E+01  -0.105897E-02   0.167178E+01   0.167178E+01   0.549501E-07   0.166900E+01
   0.210000E+01   0.167450E+01  -0.111237E-02   0.167172E+01   0.167172E+01   0.577211E-07   0.166894E+01
   0.215000E+01   0.167444E+01  -0.116576E-02   0.167166E+01   0.167166E+01   0.604919E-07   0.166888E+01
   0.220000E+01   0.167438E+01  -0.121914E-02   0.167160E+01   0.167160E+01   0.632626E-07   0.166882E+01
   0.225000E+01   0.167432E+01  -0.127253E-02   0.167154E+01   0.167154E+01   0.660330E-07   0.166876E+01
   0.230000E+01   0.167426E+01  -0.133219E-02   0.167147E+01   0.167147E+01   0.691298E-07   0.166870E+01
   0.235000E+01   0.167419E+01  -0.139185E-02   0.167141E+01   0.167141E+01   0.722262E-07   0.166863E+01
   0.240000E+01   0.167412E+01  -0.145150E-02   0.167134E+01   0.167134E+01   0.753225E-07   0.166856E+01
   0.245000E+01   0.167406E+01  -0.151115E-02   0.167127E+01   0.167127E+01   0.784185E-07   0.166850E+01
   0.250000E+01   0.167399E+01  -0.157080E-02   0.167121E+01   0.167121E+01   0.815142E-07   0.166843E+01
   0.255000E+01   0.167392E+01  -0.163673E-02   0.167113E+01   0.167113E+01   0.849363E-07   0.166836E+01
   0.260000E+01   0.167385E+01  -0.170265E-02   0.167106E+01   0.167106E+01   0.883580E-07   0.166828E+01
   0.265000E+01   0.167377E+01  -0.176856E-02   0.167098E+01   0.167098E+01   0.917795E-07   0.166821E+01
   0.270000E+01   0.167370E+01  -0.183447E-02   0.167091E+01   0.167091E+01   0.952007E-07   0.166814E+01
   0.275000E+01   0.167362E+01  -0.190038E-02   0.167084E+01   0.167084E+01   0.986215E-07   0.166806E+01
   0.280000E+01   0.167354E+01  -0.197256E-02   0.167076E+01   0.167076E+01   0.102369E-06   0.166798E+01
   0.285000E+01   0.167346E+01  -0.204474E-02   0.167068E+01   0.167067E+01   0.106115E-06   0.166790E+01
   0.290000E+01   0.167338E+01  -0.211691E-02   0.167060E+01   0.167059E+01   0.109862E-06   0.166782E+01
   0.295000E+01   0.167330E+01  -0.218907E-02   0.167052E+01   0.167051E+01   0.113608E-06   0.166774E+01
   0.300000E+01   0.167322E+01  -0.226122E-02   0.167044E+01   0.167043E+01   0.117354E-06   0.166766E+01
   0.305000E+01   0.167314E+01  -0.233966E-02   0.167035E+01   0.167035E+01   0.121426E-06   0.166757E+01
   0.310000E+01   0.167305E+01  -0.241808E-02   0.167026E+01   0.167026E+01   0.125498E-06   0.166748E+01
   0.315000E+01   0.167296E+01  -0.249650E-02   0.167017E+01   0.167017E+01   0.129569E-06   0.166740E+01
   0.320000E+01   0.167287E+01  -0.257491E-02   0.167009E+01   0.167008E+01   0.133640E-06   0.166731E+01
   0.325000E+01   0.167278E+01  -0.265331E-02   0.167000E+01   0.166999E+01   0.137710E-06   0.166722E+01
   0.330000E+01   0.167269E+01  -0.273799E-02   0.166990E+01   0.166990E+01   0.142107E-06   0.166713E+01
   0.335000E+01   0.167260E+01  -0.282266E-02   0.166981E+01   0.166981E+01   0.146503E-06   0.166703E+01
   0.340000E+01   0.167250E+01  -0.290732E-02   0.166971E+01   0.166971E+01   0.150899E-06   0.166694E+01
